source,target,weight
76561198002178704,76561198104009408,1.0
76561198135993152,76561198956485648,1.0
76561198163175200,76561198275947376,1.0
76561198004901904,76561198117708448,1.0
76561198094148960,76561198354183616,1.0
76561198316594304,76561198955551424,1.0
76561198084992992,76561198276771872,1.0
76561198080869472,76561198179724192,1.0
76561197964241680,76561198425844064,1.0
76561198124501632,76561198141985936,1.0
76561198094984544,76561198352314192,1.0
76561197964241680,76561199203331680,1.0
76561198315020144,76561198364737504,1.0
76561197999883872,76561198027542976,1.0
76561197965593264,76561198091402976,1.0
76561198122667872,76561198315701408,1.0
76561198191266224,76561198195534336,1.0
76561198021238624,76561198110288384,1.0
76561198053677120,76561198123069488,1.0
76561198073826752,76561198158947008,1.0
76561198133619136,76561198309427184,1.0
76561198047266336,76561198129386272,1.0
76561198178518336,76561198207913008,1.0
76561198045790976,76561198064425504,1.0
76561198123826480,76561198144414144,1.0
76561198148652208,76561198159082128,1.0
76561198041279712,76561198255137888,1.0
76561198085775216,76561198266303296,1.0
76561198195614480,76561198315701408,1.0
76561198054803936,76561198115754240,1.0
76561198149601664,76561199095656448,1.0
76561198045056176,76561198136626576,1.0
76561198009979328,76561198020833088,1.0
76561198096079552,76561198186829488,1.0
76561197989059776,76561198352314192,1.0
76561198130019008,76561198223004656,1.0
76561198154291408,76561198280182304,1.0
76561198240094064,76561198298601568,1.0
76561198112155440,76561198260954480,1.0
76561198081066464,76561198390372160,1.0
76561198085356608,76561198122839296,1.0
76561198090689216,76561199124905696,1.0
76561198156550416,76561198304572048,1.0
76561198084016608,76561198352314192,1.0
76561198168969776,76561198184736064,1.0
76561198021238624,76561198408557344,1.0
76561198079398816,76561198117179520,1.0
76561197968395664,76561198133396496,1.0
76561198004901904,76561198021741552,1.0
76561198054803936,76561198352291088,1.0
76561198016277536,76561198180356592,1.0
76561198116685136,76561198137341296,1.0
76561198035443424,76561198291164464,1.0
76561198124908736,76561198279187968,1.0
76561198045175888,76561198245504896,1.0
76561198143589024,76561198148652208,1.0
76561198038704256,76561198258927792,1.0
76561197972235760,76561198130471872,1.0
76561198043675200,76561198169832336,1.0
76561198146682496,76561198281791984,1.0
76561198178188496,76561198202663696,1.0
76561197964782864,76561198404780144,1.0
76561198151311728,76561198398353984,1.0
76561198012516160,76561198299665200,1.0
76561198287677184,76561198298601568,1.0
76561198132659168,76561198149601664,1.0
76561198125982848,76561198167001488,1.0
76561198139880656,76561198855090384,1.0
76561198032543424,76561198204143888,1.0
76561198278005888,76561198317262496,1.0
76561198048281648,76561198117818880,1.0
76561198082197904,76561198346512688,1.0
76561198129380736,76561198201420640,1.0
76561198166153440,76561198220496544,1.0
76561198002054432,76561198091402976,1.0
76561198016277536,76561198273701904,1.0
76561198047909248,76561198237236848,1.0
76561198053960192,76561198219260848,1.0
76561198074371856,76561198145849840,1.0
76561198067558048,76561198073826752,1.0
76561198013657760,76561198078393632,1.0
76561198044253568,76561198095693328,1.0
76561198125897120,76561198326212912,1.0
76561197972352848,76561198062694144,1.0
76561198188078400,76561198217331056,1.0
76561198162148144,76561198190381248,1.0
76561198128182448,76561198315020144,1.0
76561198198227232,76561198354934896,1.0
76561198101135760,76561198108143200,1.0
76561198094148960,76561198156445728,1.0
76561198137827696,76561198255139552,1.0
76561197965593264,76561199018006800,1.0
76561198227232752,76561198237236848,1.0
76561198143589024,76561198165343776,1.0
76561198062941280,76561198273873728,1.0
76561198045324496,76561198185160496,1.0
76561198103126464,76561198110181824,1.0
76561198039568976,76561198124627152,1.0
76561198012635536,76561198189145696,1.0
76561198047045808,76561198064278176,1.0
76561198150177648,76561198152626272,1.0
76561198298601568,76561198307217312,1.0
76561198026871248,76561198216382512,1.0
76561198075730160,76561198196418096,1.0
76561198083699328,76561198096244480,1.0
76561198127342560,76561198135667824,1.0
76561198154901344,76561198228283616,1.0
76561198071923840,76561198113625888,1.0
76561198207636256,76561198294883632,1.0
76561198316333984,76561198352291088,1.0
76561198144503904,76561198160607120,1.0
76561197986481536,76561198136351456,1.0
76561198136090944,76561198166899136,1.0
76561198075730160,76561198078659280,1.0
76561198077196608,76561198174051984,1.0
76561198096079552,76561198152647072,1.0
76561198094984544,76561198955551424,1.0
76561198149886928,76561198422976288,1.0
76561198082652768,76561198202386304,1.0
76561198261190560,76561198292437920,1.0
76561198079698768,76561198083350928,1.0
76561198084623792,76561198309141488,1.0
76561198202386304,76561198236239008,1.0
76561198092577648,76561198093671808,1.0
76561198254944336,76561199095656448,1.0
76561198097676432,76561198397888016,1.0
76561198116543216,76561198402569824,1.0
76561198025073872,76561198085947872,1.0
76561198045324496,76561198065368704,1.0
76561197964782864,76561198282157056,1.0
76561198064749328,76561198113559008,1.0
76561198124501632,76561198152562992,1.0
76561198047045808,76561198122224128,1.0
76561198077470416,76561198893902688,1.0
76561198153732848,76561198358954448,1.0
76561197970937792,76561198102324528,1.0
76561198254354352,76561198839491408,1.0
76561198100457776,76561198184620976,1.0
76561198012516160,76561199439054976,1.0
76561198078659280,76561198354934896,1.0
76561197991465920,76561198298601568,1.0
76561198123893344,76561198384212512,1.0
76561197976576384,76561198094148960,1.0
